,Model,Label,location,energyscore,it
0,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33259797911123,0
1,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69059975421037,0
2,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40970979617,0
3,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29363039187584,0
4,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72202887176033,0
5,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33121607290875,1
6,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69373297187019,1
7,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40782082814816,1
8,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28483209942547,1
9,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72715616902381,1
10,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.32864971955917,2
11,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69869148035569,2
12,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41565193401435,2
13,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.2825746532958,2
14,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72926283336786,2
15,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.32851668599963,3
16,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69691399378912,3
17,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41263116311997,3
18,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29321619558394,3
19,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72855728035182,3
20,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33527468205392,4
21,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69063483499517,4
22,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.4092071623525,4
23,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28648722764251,4
24,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.74168472320068,4
25,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33143217365372,5
26,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69426786134188,5
27,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40734108112794,5
28,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28693522992683,5
29,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.73087444192238,5
30,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33455639275002,6
31,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69448875057877,6
32,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40876546975177,6
33,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28534256309679,6
34,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.71010555188843,6
35,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33034778735492,7
36,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.6935895403298,7
37,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41546852775447,7
38,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29025515413053,7
39,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.70982551724741,7
40,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.3254140043582,8
41,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69652370269955,8
42,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.4087961227507,8
43,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28717364931906,8
44,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.7407288423813,8
45,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33042287827746,9
46,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69633667631099,9
47,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41212259392795,9
48,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28042063158676,9
49,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72831071669096,9
50,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.3319213705731,10
51,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.70243259293566,10
52,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40750736336103,10
53,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.27564093267986,10
54,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.71847478009951,10
55,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33418178993432,11
56,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.69902419878755,11
57,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41555020563642,11
58,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29547482996075,11
59,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72196171114676,11
60,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.3276501918841,12
61,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.6996043530329,12
62,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.410558891422,12
63,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29860966958175,12
64,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.73081468671077,12
65,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.32939240770534,13
66,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.68766340908462,13
67,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41082011338236,13
68,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28589098710442,13
69,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.7214643707743,13
70,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.3303999604531,14
71,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.6916335318783,14
72,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.41696871188594,14
73,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.28667148561793,14
74,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.72913989974266,14
75,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33001889715968,15
76,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.6912570563874,15
77,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40890901284337,15
78,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.30191817886764,15
79,MOBS_NEU-GLEAM_COVID,Scenario E,US,97.73492799575716,15
80,MOBS_NEU-GLEAM_COVID,Scenario A,US,170.33331074555872,16
81,MOBS_NEU-GLEAM_COVID,Scenario B,US,117.6936259580832,16
82,MOBS_NEU-GLEAM_COVID,Scenario C,US,118.40668711344784,16
83,MOBS_NEU-GLEAM_COVID,Scenario D,US,99.29075191480841,16
