,Model,location,energyscore,it
0,baseline,US,0.48624182412593486,0
1,baseline,US,0.48633759430563916,1
2,baseline,US,0.4862381519781224,2
3,baseline,US,0.4863655785755133,3
4,baseline,US,0.4862513811111908,4
5,baseline,US,0.486254448422201,5
6,baseline,US,0.48612322319996726,6
7,baseline,US,0.4862274240678089,7
8,baseline,US,0.48610047706057136,8
9,baseline,US,0.4863016992594958,9
10,baseline,US,0.48627478177826,10
11,baseline,US,0.48636263616583875,11
12,baseline,US,0.4862595392258254,12
13,baseline,US,0.48619062473067715,13
14,baseline,US,0.4863594623627131,14
15,baseline,US,0.48636197112037655,15
16,baseline,US,0.486281412781562,16
17,baseline,US,0.4863643028759232,17
18,baseline,US,0.4862673222921107,18
19,baseline,US,0.48628675561239365,19
20,baseline,US,0.4863773820689425,20
21,baseline,US,0.48634303736743745,21
22,baseline,US,0.48623285831575336,22
23,baseline,US,0.48629815582525526,23
24,baseline,US,0.48639486548995026,24
25,baseline,US,0.48623723237693545,25
26,baseline,US,0.48627648970153375,26
27,baseline,US,0.48638840881077033,27
28,baseline,US,0.48620626407899764,28
29,baseline,US,0.4863296497408151,29
30,baseline,US,0.48624898436385217,30
31,baseline,US,0.486272949390555,31
32,baseline,US,0.4861966363322766,32
33,baseline,US,0.4862552025983502,33
34,baseline,US,0.48633929549586524,34
35,baseline,US,0.4863275239957389,35
36,baseline,US,0.4862926832836689,36
37,baseline,US,0.4862414901918613,37
38,baseline,US,0.4862680479746661,38
39,baseline,US,0.48625193779552806,39
40,baseline,US,0.48629270141426917,40
41,baseline,US,0.48641524663635854,41
42,baseline,US,0.48641266490602214,42
43,baseline,US,0.48639995620188586,43
44,baseline,US,0.48627693420335266,44
45,baseline,US,0.4863556889801989,45
46,baseline,US,0.4862713957168599,46
47,baseline,US,0.48634562816639965,47
48,baseline,US,0.4862133453617226,48
49,baseline,US,0.48626947830806855,49
