,Model,Label,location,energyscore,it
0,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8679568192844007,0
1,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0051761252621978,0
2,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8423863235992858,0
3,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172037505301817,0
4,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574549942825931,0
5,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8158865309272048,0
6,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8679415436235111,1
7,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.004577101887746,1
8,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8426396282286883,1
9,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9169853018495716,1
10,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8571617255310368,1
11,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8163228065608849,1
12,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8677047727433483,2
13,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0046198784614915,2
14,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8423224170240317,2
15,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174392295270176,2
16,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8562130837473064,2
17,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8163317598265415,2
18,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8678526595471601,3
19,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0050023837302904,3
20,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.84300984771104,3
21,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174313538179147,3
22,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8568478708369304,3
23,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8160689949486903,3
24,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8672368589573164,4
25,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.004907690890494,4
26,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8427565459723646,4
27,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9173446092866856,4
28,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8565842693115013,4
29,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8162192089605257,4
30,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8674796701342131,5
31,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.004653175988464,5
32,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8426970626800201,5
33,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9171919803257027,5
34,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8573713198628606,5
35,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8163198078250794,5
36,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.867749679796292,6
37,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0054098414065122,6
38,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8423710733854403,6
39,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9171508830154366,6
40,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8564745151938875,6
41,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8160816457073485,6
42,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8679187812740221,7
43,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0046730824321302,7
44,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8432358909165621,7
45,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174573332289436,7
46,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8562975195166176,7
47,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8163353871356982,7
48,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8676268603637661,8
