location,abbreviation,location_name,ES_ratio
1,AL,Alabama,1.445765283459946
2,AK,Alaska,1.8750499572199024
4,AZ,Arizona,0.9039950985054555
5,AR,Arkansas,1.5610434559602393
6,CA,California,2.0316293655580524
8,CO,Colorado,1.3345864508442729
9,CT,Connecticut,1.9979425787844698
10,DE,Delaware,1.8726587162127915
11,DC,District of Columbia,1.1137633744240372
12,FL,Florida,1.6798345977794218
13,GA,Georgia,0.7987080852083561
15,HI,Hawaii,1.937229753938334
16,ID,Idaho,1.7361341271564323
17,IL,Illinois,2.237611587679753
18,IN,Indiana,1.879524194888636
19,IA,Iowa,2.4156888723600236
20,KS,Kansas,2.1937441111729763
21,KY,Kentucky,1.820604630139463
22,LA,Louisiana,1.172227791839572
23,ME,Maine,2.3726779526363244
24,MD,Maryland,1.187971718646379
25,MA,Massachusetts,1.5671666553977686
26,MI,Michigan,1.8870755485251265
27,MN,Minnesota,2.3033654898130944
28,MS,Mississippi,1.0098413790517324
29,MO,Missouri,1.6095363183272997
30,MT,Montana,1.4355272576942788
31,NE,Nebraska,2.0330145058037927
32,NV,Nevada,1.8420848360801287
33,NH,New Hampshire,1.8501441883702978
34,NJ,New Jersey,1.0701625048553356
35,NM,New Mexico,1.205411830085148
36,NY,New York,1.2157951750689808
37,NC,North Carolina,0.9197212380703405
38,ND,North Dakota,1.3886115650734903
39,OH,Ohio,1.6991051095432752
40,OK,Oklahoma,1.2766688149302778
41,OR,Oregon,1.5342184128540013
42,PA,Pennsylvania,1.5982568880525414
44,RI,Rhode Island,1.7625624201209558
45,SC,South Carolina,0.8206750067497492
46,SD,South Dakota,1.8485957114939406
47,TN,Tennessee,1.2131649196429695
48,TX,Texas,1.207109307053125
49,UT,Utah,2.9096858215236496
50,VT,Vermont,2.075683229220054
51,VA,Virginia,0.8804248798224715
53,WA,Washington,2.1725735766623675
54,WV,West Virginia,1.7387882714313503
55,WI,Wisconsin,2.032231909382377
56,WY,Wyoming,1.4861077651342656
