,Model,Label,location,energyscore,it
0,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.729432461420842,0
1,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.51634468580663,0
2,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.244717231419187,0
3,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.52143959244562,0
4,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.524177917639136,0
5,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.99960199187513,0
6,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.371090542452492,1
7,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.39518541957,1
8,MOBS_NEU-GLEAM_FLU,Scenario C,US,26.07622731951232,1
9,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.17539624083559,1
10,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.7955337301218,1
11,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.103141543991857,1
12,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.317180801923183,2
13,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.755521736321285,2
14,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.11868709929629,2
15,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.452614839170376,2
16,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.712728157702855,2
17,MOBS_NEU-GLEAM_FLU,Scenario F,US,24.9104303331876,2
18,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.567744277144897,3
19,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.671899641325762,3
20,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.205505480986886,3
21,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.88087719732637,3
22,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.07500484235877,3
23,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.535063608597394,3
24,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.493061288766416,4
25,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.1424491824826,4
26,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.941197984415336,4
27,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.85833129131354,4
28,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.535739776992628,4
29,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.84115186697041,4
30,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.714052050321897,5
31,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.178783853261304,5
32,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.207834927382333,5
33,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.98085350502321,5
34,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.14624524884257,5
35,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.709910715333418,5
36,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.878526240458232,6
37,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.659079410296986,6
