,Model,Label,location,energyscore,it
0,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.87367210148437,0
1,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.55235039285584,0
2,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.37772234162155,0
3,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.3786736061622,0
4,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.56136964725486,0
5,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.19086626836291,0
6,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.87317224870253,1
7,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.59739836474695,1
8,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.31826973996701,1
9,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.36649638391616,1
10,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.51276314032002,1
11,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.27482575155258,1
12,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.85381703520292,2
13,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.44766380838189,2
14,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.30114856691156,2
15,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.41783920338038,2
16,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.60698606332217,2
17,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.251244623743,2
18,MOBS_NEU-GLEAM_FLU,Scenario A,US,76.06888358652087,3
19,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.41953135344946,3
20,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.35235342286816,3
21,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.31882094896542,3
22,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.63371951274877,3
23,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.20344867704284,3
24,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.87414296314576,4
25,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.4390725114159,4
26,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.3125116510136,4
27,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.34663245703251,4
28,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.41592482510066,4
29,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.26660161703445,4
30,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.92937049284143,5
31,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.4296883493501,5
32,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.30028242513633,5
33,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.46136818851168,5
34,MOBS_NEU-GLEAM_FLU,Scenario E,US,71.68843688131564,5
35,MOBS_NEU-GLEAM_FLU,Scenario F,US,65.17460017270143,5
36,MOBS_NEU-GLEAM_FLU,Scenario A,US,75.9039761966345,6
37,MOBS_NEU-GLEAM_FLU,Scenario B,US,85.52184928844973,6
38,MOBS_NEU-GLEAM_FLU,Scenario C,US,73.41738164970309,6
39,MOBS_NEU-GLEAM_FLU,Scenario D,US,77.4021105968259,6
