,Model,location,energyscore,it
0,baseline,US,69.0869490278133,0
1,baseline,US,69.0944133661589,1
2,baseline,US,69.0952599639807,2
3,baseline,US,69.09283675081265,3
4,baseline,US,69.07963897020849,4
5,baseline,US,69.08848157256556,5
6,baseline,US,69.09544779429939,6
7,baseline,US,69.09935421678848,7
8,baseline,US,69.0765151328284,8
9,baseline,US,69.09870165326818,9
10,baseline,US,69.1049071642558,10
11,baseline,US,69.08288332596388,11
12,baseline,US,69.088254879571,12
13,baseline,US,69.0777727940636,13
14,baseline,US,69.0922305970623,14
15,baseline,US,69.08353228380908,15
16,baseline,US,69.0929301908517,16
17,baseline,US,69.09250727659648,17
18,baseline,US,69.07530478867459,18
19,baseline,US,69.08588733475875,19
20,baseline,US,69.07645205543677,20
21,baseline,US,69.08292457423741,21
22,baseline,US,69.09765768709673,22
23,baseline,US,69.09468406720207,23
24,baseline,US,69.07136309266585,24
25,baseline,US,69.11035235642186,25
26,baseline,US,69.07370913801616,26
27,baseline,US,69.08141238466989,27
28,baseline,US,69.07478505941296,28
29,baseline,US,69.0691115416334,29
30,baseline,US,69.08440987247678,30
31,baseline,US,69.07985441058662,31
32,baseline,US,69.08739495638142,32
33,baseline,US,69.09702790038327,33
34,baseline,US,69.0881150649347,34
35,baseline,US,69.08715877697198,35
36,baseline,US,69.08165948469461,36
37,baseline,US,69.0896442777868,37
38,baseline,US,69.08183578056409,38
39,baseline,US,69.10106955666151,39
40,baseline,US,69.08375422317073,40
41,baseline,US,69.06891052169307,41
42,baseline,US,69.08525161923907,42
43,baseline,US,69.09261469251723,43
44,baseline,US,69.08857630000442,44
45,baseline,US,69.07205253978414,45
46,baseline,US,69.09353297674485,46
47,baseline,US,69.07739831130124,47
48,baseline,US,69.0866584998725,48
49,baseline,US,69.07506303758859,49
50,baseline,US,69.05413261161978,50
51,baseline,US,69.07803561375042,51
52,baseline,US,69.09208078780502,52
53,baseline,US,69.07837101527366,53
54,baseline,US,69.09956216914934,54
55,baseline,US,69.08589859223159,55
56,baseline,US,69.0888483260607,56
57,baseline,US,69.09272241997472,57
58,baseline,US,69.08054747611094,58
59,baseline,US,69.07952848767077,59
60,baseline,US,69.08028522409236,60
61,baseline,US,69.08335399306178,61
62,baseline,US,69.07983340945921,62
63,baseline,US,69.09140099184594,63
64,baseline,US,69.07556805695856,64
65,baseline,US,69.06347371529559,65
66,baseline,US,69.08396990936939,66
67,baseline,US,69.0787720600373,67
68,baseline,US,69.08979231106528,68
69,baseline,US,69.08706918830754,69
70,baseline,US,69.08276432417699,70
71,baseline,US,69.0903844322439,71
72,baseline,US,69.07622741274623,72
73,baseline,US,69.07624985955684,73
74,baseline,US,69.0620977380434,74
75,baseline,US,69.10396630050558,75
76,baseline,US,69.07923687035618,76
77,baseline,US,69.08613718412256,77
78,baseline,US,69.06629887359666,78
79,baseline,US,69.10635379281366,79
80,baseline,US,69.08686510841994,80
81,baseline,US,69.09058853942163,81
82,baseline,US,69.09227702913859,82
83,baseline,US,69.08896757914248,83
84,baseline,US,69.07264628832255,84
85,baseline,US,69.08877982558283,85
86,baseline,US,69.09334341097892,86
87,baseline,US,69.0888623524016,87
88,baseline,US,69.0855911996654,88
89,baseline,US,69.07424504307795,89
90,baseline,US,69.09665663529118,90
91,baseline,US,69.07618656900473,91
92,baseline,US,69.08782328506183,92
93,baseline,US,69.09523180621642,93
94,baseline,US,69.09368551888952,94
95,baseline,US,69.07939124074385,95
96,baseline,US,69.0793341453148,96
97,baseline,US,69.08005719919275,97
98,baseline,US,69.09181034144495,98
99,baseline,US,69.0883135934437,99
