Model,Label,location,energyscore
MOBS_NEU-GLEAM_RSV,Scenario A,06,1956.6078743674248
MOBS_NEU-GLEAM_RSV,Scenario A,08,198.17258842070237
MOBS_NEU-GLEAM_RSV,Scenario A,09,229.49854689527209
MOBS_NEU-GLEAM_RSV,Scenario A,13,146.41235012242947
MOBS_NEU-GLEAM_RSV,Scenario A,24,255.99100941410993
MOBS_NEU-GLEAM_RSV,Scenario A,26,679.1101784898059
MOBS_NEU-GLEAM_RSV,Scenario A,27,231.83784742772818
MOBS_NEU-GLEAM_RSV,Scenario A,35,170.07586360692915
MOBS_NEU-GLEAM_RSV,Scenario A,36,1460.8277561235425
MOBS_NEU-GLEAM_RSV,Scenario A,41,239.55543687599703
MOBS_NEU-GLEAM_RSV,Scenario A,47,187.56240965718825
MOBS_NEU-GLEAM_RSV,Scenario A,49,170.81793227209118
MOBS_NEU-GLEAM_RSV,Scenario A,US,2490.012810605391
MOBS_NEU-GLEAM_RSV,Scenario B,06,2033.3452455069507
MOBS_NEU-GLEAM_RSV,Scenario B,08,203.52696384316852
MOBS_NEU-GLEAM_RSV,Scenario B,09,236.25123743129294
MOBS_NEU-GLEAM_RSV,Scenario B,13,150.16176892074864
MOBS_NEU-GLEAM_RSV,Scenario B,24,263.3367110778271
MOBS_NEU-GLEAM_RSV,Scenario B,26,701.4680759132212
MOBS_NEU-GLEAM_RSV,Scenario B,27,237.21858904584212
MOBS_NEU-GLEAM_RSV,Scenario B,35,174.51270969144898
MOBS_NEU-GLEAM_RSV,Scenario B,36,1501.8899660454767
MOBS_NEU-GLEAM_RSV,Scenario B,41,249.04982767823168
MOBS_NEU-GLEAM_RSV,Scenario B,47,195.48277411037844
MOBS_NEU-GLEAM_RSV,Scenario B,49,173.2260564076656
MOBS_NEU-GLEAM_RSV,Scenario B,US,2494.983240264161
MOBS_NEU-GLEAM_RSV,Scenario C,06,2149.6799002650387
MOBS_NEU-GLEAM_RSV,Scenario C,08,215.84241691660696
MOBS_NEU-GLEAM_RSV,Scenario C,09,247.41441151836545
MOBS_NEU-GLEAM_RSV,Scenario C,13,154.60527812268128
MOBS_NEU-GLEAM_RSV,Scenario C,24,284.2532536301038
MOBS_NEU-GLEAM_RSV,Scenario C,26,733.0497465682531
MOBS_NEU-GLEAM_RSV,Scenario C,27,255.25351210854296
MOBS_NEU-GLEAM_RSV,Scenario C,35,184.48530182732594
MOBS_NEU-GLEAM_RSV,Scenario C,36,1603.0875712241946
MOBS_NEU-GLEAM_RSV,Scenario C,41,265.57825311533554
MOBS_NEU-GLEAM_RSV,Scenario C,47,200.40041880877243
MOBS_NEU-GLEAM_RSV,Scenario C,49,186.80336550332953
MOBS_NEU-GLEAM_RSV,Scenario C,US,2516.855524708867
MOBS_NEU-GLEAM_RSV,Scenario D,06,2226.333126506386
MOBS_NEU-GLEAM_RSV,Scenario D,08,221.08557254947556
MOBS_NEU-GLEAM_RSV,Scenario D,09,254.1415263451037
MOBS_NEU-GLEAM_RSV,Scenario D,13,158.35710462325616
MOBS_NEU-GLEAM_RSV,Scenario D,24,291.559315645489
MOBS_NEU-GLEAM_RSV,Scenario D,26,755.3429994914186
MOBS_NEU-GLEAM_RSV,Scenario D,27,260.6179639428524
MOBS_NEU-GLEAM_RSV,Scenario D,35,188.86511297980917
MOBS_NEU-GLEAM_RSV,Scenario D,36,1644.1805924478103
MOBS_NEU-GLEAM_RSV,Scenario D,41,275.00416390170017
MOBS_NEU-GLEAM_RSV,Scenario D,47,208.30851977622112
MOBS_NEU-GLEAM_RSV,Scenario D,49,189.07819623453818
MOBS_NEU-GLEAM_RSV,Scenario D,US,2521.823235985889
MOBS_NEU-GLEAM_RSV,Scenario E,06,2361.912613261336
MOBS_NEU-GLEAM_RSV,Scenario E,08,233.73611859421464
MOBS_NEU-GLEAM_RSV,Scenario E,09,267.2291705084597
MOBS_NEU-GLEAM_RSV,Scenario E,13,164.77828692705563
MOBS_NEU-GLEAM_RSV,Scenario E,24,309.5429052794325
MOBS_NEU-GLEAM_RSV,Scenario E,26,793.2329002941098
MOBS_NEU-GLEAM_RSV,Scenario E,27,274.79757687026216
MOBS_NEU-GLEAM_RSV,Scenario E,35,199.02226967292484
MOBS_NEU-GLEAM_RSV,Scenario E,36,1735.215996665772
MOBS_NEU-GLEAM_RSV,Scenario E,41,293.8211874220635
MOBS_NEU-GLEAM_RSV,Scenario E,47,219.17805214610945
MOBS_NEU-GLEAM_RSV,Scenario E,49,198.12435467428966
MOBS_NEU-GLEAM_RSV,Scenario E,US,2538.7526621630736
